"id","code","name","reconcile","account_type","name@es"
"ec210401","21040101","Tarjeta de Credito de la empresa","True","liability_payable","Tarjeta de Crédito de la empresa"
"ec210402","21040201","Tarjeta de Credito de Bancos Exteriores","True","liability_payable","Tarjeta de Crédito de Bancos Exteriores"
"ec21070404","21070404","Multas a Empleados","True","liability_payable","Multas a Empleados"
"ec52010406","52010406","Gastos medicos de personal","False","expense","Gastos medicos de personal"
"ec110208","11020801","Prestamos Empleados","True","asset_receivable","Prestamos Empleados"
"ec11020802","11020802","Anticipos Empleados","True","asset_receivable","Anticipos Empleados"
"ec11020803","11020803","Otras cuentas por cobrar","True","asset_receivable","Otras cuentas por cobrar"
"ec210301","21030101","Proveedores","True","liability_payable","Proveedores"
"ec21040102","21040102","T.C. Diners Club","False","liability_credit_card","T.C. Diners Club"
"ec21070403","2107040301","Decimo tercer sueldo por pagar","True","liability_payable","Decimo tercer sueldo por pagar"
"ec2107040302","2107040302","Decimo cuarto sueldo por pagar","True","liability_payable","Decimo cuarto sueldo por pagar"
"ec21070404","21070404","Multas a Empleados","True","liability_payable","Multas a Empleados"
"ec220301","22030101","Prestamo Banco ProCredit","True","liability_payable","Prestamo Banco"
"ec52010406","52010406","Gastos medicos de personal","False","expense","Gastos medicos de personal"
"ec520108","52010801","Mantenimiento y reparacion de vehículos","False","expense","Mantenimiento y reparacion de vehículos"
"ec52010802","52010802","Mantenimiento de equipos e instalaciones","False","expense","Mantenimiento de equipos e instalaciones"
"ec52010803","52010803","Mantenimiento de computadoras y redes","False","expense","Mantenimiento de computadoras y redes"
"ec520109","52010901","Arrendamiento de locales y oficinas","False","expense","Arrendamiento de locales y oficinas"
"ec52010902","52010902","Alicuota de consejeria","False","expense","Alicuota de consejeria"
"ec520115","52011501","Envios clientes","False","expense","Envios clientes"
"ec52011502","52011502","Flete de mercaderia","False","expense","Flete de mercaderia"
"ec52011503","52011503","Pasajes, Taxis","False","expense","Pasajes, Taxis"
"ec520116","52011601","Agasajo a trabajadores","False","expense","Agasajo a trabajadores"
"ec52011602","52011602","Atencion a clientes y proveedores","False","expense","Atencion a clientes y proveedores"
"ec520117","52011701","Hospedaje","False","expense","Hospedaje"
"ec52011702","52011702","Movilizacion","False","expense","Movilizacion"
"ec52011703","52011703","Alimentacion","False","expense","Alimentacion"
"ec520119","52011901","Notarios","False","expense","Notarios"
"ec52011902","52011902","Gastos legales","False","expense","Gastos legales"
"ec52012716","52012716","Eventos","False","expense","Eventos"
"ec52020406","52020406","Gastos medicos de personal","False","expense","Gastos medicos de personal"
"ec520208","52020801","Mantenimiento y reparacion de vehiculos","False","expense","Mantenimiento y reparacion de vehiculos"
"ec52020802","52020802","Mantenimiento de equipos e instalaciones","False","expense","Mantenimiento de equipos e instalaciones"
"ec52020803","52020803","Mantenimiento de computadoras y redes","False","expense","Mantenimiento de computadoras y redes"
"ec520209","52020901","Arrendamiento de locales y oficinas","False","expense","Arrendamiento de locales y oficinas"
"ec520215","52021501","Envios clientes","False","expense","Envios clientes"
"ec52021502","52021502","Flete de mercaderia","False","expense","Flete de mercaderia"
"ec52021503","52021503","Pasajes, Taxis","False","expense","Pasajes, Taxis"
"ec520216","52021601","Agasajo a trabajadores","False","expense","Agasajo a trabajadores"
"ec52021602","52021602","Atencion a clientes y proveedores","False","expense","Atencion a clientes y proveedores"
"ec520217","52021701","Hospedaje","False","expense","Hospedaje"
"ec52021702","52021702","Movilizacion","False","expense","Movilizacion"
"ec52021703","52021703","Alimentacion","False","expense","Alimentacion"
"ec52021704","52021704","Viaticos","False","expense","Viaticos"
"ec52021705","52021705","Otros gastos de viaje","False","expense","Otros gastos de viaje"
"ec52021706","52021706","Pasajes aereos","False","expense","Pasajes aereos"
"ec520219","52021901","Notarios","False","expense","Notarios"
"ec52021902","52021902","Gastos legales","False","expense","Gastos legales"
"ec52022007","52022007","Registros, Tramites y Licencias","False","expense","Registros, Tramites y Licencias"
"ec52022819","52022819","Suministros y materiales","False","expense","Suministros y materiales"
"ec520302","52030201","Comisiones Bancarias","False","expense","Comisiones Bancarias"
"ec52030202","52030202","Comisiones Tarjetas de Credito","False","expense","Comisiones Tarjetas de Crédito"
"ec52020405","5202040503","Otros","False","expense","Otros"
"ec510113","510113","Otros Gastos de Importación","False","expense_direct_cost","Otros Gastos de Importación"
"ec52011805","52011805","Internet","False","expense","Internet"
"ec52021805","52021805","Internet","False","expense","Internet"
"ec52011806","52011806","Otros","False","expense","Otros"
"ec52021806","52021806","Otros","False","expense","Otros"
"ec_expense_others","52040203","Otros gastos","False",expense,"Otros gastos"
